Date,AMZN,TGT,COST,BNED,SCHL,WLY,NWSA,NYT,RELX,TRI
2016-02-09 00:00:00-05:00,24.103500366210938,53.14292526245117,124.65937042236328,998.0,27.878572463989258,30.361818313598633,9.314977645874023,11.250590324401855,13.501081466674805,29.400733947753906
2016-02-10 00:00:00-05:00,24.52400016784668,52.3061408996582,125.0902328491211,1000.0,27.9368839263916,30.694042205810547,9.4126558303833,11.26895809173584,13.476987838745117,29.400733947753906
2016-02-11 00:00:00-05:00,25.19099998474121,51.76604461669922,123.90737915039062,991.0,27.9368839263916,30.535484313964844,9.23505687713623,11.250590324401855,13.356512069702148,28.575342178344727
2016-02-12 00:00:00-05:00,25.354000091552734,53.65291213989258,125.5971908569336,995.0,28.086807250976562,30.588336944580078,9.545852661132812,11.397537231445312,13.468953132629395,29.475011825561523
2016-02-16 00:00:00-05:00,26.05500030517578,54.841773986816406,125.98587799072266,1020.0,28.953060150146484,31.313213348388672,9.714568138122559,11.746535301208496,13.74202823638916,29.565826416015625
2016-02-17 00:00:00-05:00,26.704999923706055,55.30198287963867,127.50669860839844,1031.0,29.38619613647461,32.45338821411133,9.767850875854492,11.810819625854492,14.015104293823242,30.16835594177246
2016-02-18 00:00:00-05:00,26.25,55.631805419921875,125.5971908569336,1038.0,29.078001022338867,32.226863861083984,9.634651184082031,11.774084091186523,14.039198875427246,30.143583297729492
2016-02-19 00:00:00-05:00,26.7450008392334,55.47072982788086,125.63943481445312,1020.0,29.161296844482422,32.3023681640625,9.696810722351074,11.654687881469727,14.15163803100586,29.96030044555664
2016-02-22 00:00:00-05:00,27.975000381469727,55.5858154296875,126.78853607177734,1059.0,29.45282745361328,32.82337188720703,9.856647491455078,11.755716323852539,14.159669876098633,30.485183715820312
2016-02-23 00:00:00-05:00,27.64699935913086,56.751651763916016,127.04202270507812,1035.0,29.17795753479004,32.52133560180664,9.670171737670898,11.783271789550781,13.918722152709961,30.326894760131836
2016-02-24 00:00:00-05:00,27.70199966430664,59.014366149902344,130.00767517089844,1042.0,29.202943801879883,32.52133560180664,9.58137321472168,11.434272766113281,13.910694122314453,30.49350929260254
